transAmount,transCurrency,transDescription,transChannel,cardType,cardNetwork,cardExpDate,cardCompany,city,zipCode,latitude,longitude,deviceType,posPostalCodeType,country,state,posDetails.geoStreet1,posDetails.geoCity,posDetails.geoState,posDetails.geoCountry,posDetails.geoPostalCodeType,posDetails.lat,posDetails.lon,mobileDetails.deviceName,mobileDetails.deviceOS,mobileDetails.deviceNetwork,mobileDetails.appName,mobileDetails.userLat,mobileDetails.userLong,mobileDetails.deviceIP,webDetails.deviceMacAddr,webDetails.deviceIP,webDetails.browser,webDetails.deviceOS,webDetails.hostURL,paymentCard.cardType,paymentCard.cardExpDate,paymentCard.cardNetwork,paymentCard.cardCompany,paymentCard.cardCompanyCountry,paymentCard.cardLimit,paymentCard.cardBalance,customer.customerType,customer.customerAvgSpending,customer.customerRiskScore,customer.custGender,customer.custMaritalStatus,customer.custIncomeLevel,customer.custStreet1,customer.custStreet2,customer.custCity,customer.custState,customer.custCountry,customer.custPostalCode,customer.lat,customer.lon,storePOS.storeName,storePOS.storeRiskScore,storePOS.storeType,dollar_amount,fraud_flag
467,dollar,Provident corrupti v,MOBILE,prepaid,americanexpress,21-Oct,Kub-Kub,Woodside,19980,39.07138824,-75.56861115,ubuntu,NoPOS,US,DE,NA,NA,NA,NA,NA,NA,NA,Rosalind,ubuntu,jio,Job,26.55478,-167.45182,40.118.240.200,NA,NA,NA,NA,NA,prepaid,21-Oct,americanexpress,Kub-Kub,US,550433.122,22763.65497,regular,3346.835525,0.434971812,Female,Unmarried,Low,Bernhard Island,48,Woodside,DE,US,19980,39.07139,-75.56861,NA,NA,NA,467,0
140,rupee,Placeat eaque vitae ,POS,prepaid,americanexpress,20-Feb,Mills and Sons,Fishers,46085,39.95559311,-86.01387024,POS,Supermarket,US,IN,Rempel Place,Fishers,IN,US,Supermarket,39.955593,-86.01387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prepaid,20-Feb,americanexpress,Mills and Sons,US,584119.8165,80573.26825,regular,6070.197159,0.244361242,Male,Married,Very High,Natalia Glens,760,Carolina,PR,US,988,18.402,-65.9782,Von Inc,0.542042368,Terrance,2.1518,0
203,yen,Est facilis aut fuga,MOBILE,prepaid,mastercard,20-Jan,Langworth-Langworth,Marana,85658,32.43673706,-111.2253799,ios,NoPOS,US,AZ,NA,NA,NA,NA,NA,NA,NA,Bailey,ios,airtel,Subin,-2.2578496,59.580027,23.235.209.181,NA,NA,NA,NA,NA,prepaid,20-Jan,mastercard,Langworth-Langworth,US,493635.9065,67422.43502,business,7862.513653,0.493555156,Female,Unmarried,Low,Maegan Mews,450,Marana,AZ,US,85658,32.436737,-111.22538,NA,NA,NA,1.783355,0
3198.86143,pound,Ea aperiam est. Sed ,POS,credit,visa,20-Apr,"Schaefer, Schaefer and Schaefer",Lafayette,70500,30.22409058,-92.01984406,POS,Supermarket,US,LA,Jacobson Parkways,Lafayette,LA,US,Supermarket,30.22409,-92.019844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,credit,20-Apr,visa,"Schaefer, Schaefer and Schaefer",US,423440.4353,78038.22544,business,3316.249606,0.455087372,Female,Married,High,Allene Vista,310,Washington,DC,US,56972,38.8588,-76.9868,Schaden LLC,0.177588262,Carlie,4209.701641,0
2223.891242,pound,Aut est dicta. Susci,WEB,debit,visa,19-Jan,Padberg Group,WakeIsland,96898,19.28305626,-166.5997162,opera,NoPOS,US,HI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99:33:2b:da:ac:8e,104.24.104.181,opera,Solaris,www.yesenia-padberg.biz,debit,19-Jan,visa,Padberg Group,US,131026.7256,24057.97228,priority,7667.14034,0.280623408,Female,Married,Very High,Casper Extension,684,WakeIsland,HI,US,96898,19.283056,-166.59972,NA,NA,NA,2926.640874,0
1996.136405,rupee,Voluptas aut numquam,POS,debit,visa,20-Apr,Walsh LLC,Chicago,60290,41.85003281,-87.65005493,POS,Supermarket,US,IL,Howe Mount,Chicago,IL,US,Supermarket,41.850033,-87.650055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,debit,20-Apr,visa,Walsh LLC,US,247319.7453,30643.43039,partner,7295.555882,0.383086245,Female,Unmarried,Low,Isabelle Harbors,503,Winslow,AR,US,72959,35.831207,-94.11866,Hane-Hane,0.448119766,Mollie,30.68061655,0
2819.746234,dollar,Quasi minima magni i,POS,debit,americanexpress,17-Dec,Dickinson Group,Washington,56972,38.85879898,-76.98680115,POS,Other,US,DC,Dave Creek,Washington,DC,US,Other,38.8588,-76.9868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,debit,17-Dec,americanexpress,Dickinson Group,US,603396.5064,80666.70967,priority,5293.345278,0.320096734,Female,Unmarried,Low,Jacinthe Pass,621,NorthPort,FL,US,34291,27.044224,-82.23592,Hane-Hane,0.448119766,Mollie,2819.746234,0
97,rupee,Voluptatem laborum q,POS,prepaid,visa,18-Jun,Rutherford Group,WestFarmington,4992,44.66277695,-70.15583038,POS,Other,US,ME,Buckridge Trafficway,WestFarmington,ME,US,Other,44.662777,-70.15583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prepaid,19-Apr,mastercard,Crist Inc,US,721992.1898,18922.9866,regular,3708.132921,0.477780992,Female,Other,Very High,Bailey Tunnel,607,Davenport,IA,US,52809,41.521,-90.5865,Vandervort LLC,0.525732185,Wanda,1.49089,0
3755.555204,pound,Voluptatem in reicie,WEB,debit,mastercard,21-Dec,"Schulist, Schulist and Schulist",Rolla,67954,37.1088829,-101.6446838,safari,NoPOS,US,KS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9e:a4:7c:1c:48:90,157.240.0.36,safari,Solaris,www.norval-prohaska.com,debit,21-Dec,mastercard,"Schulist, Schulist and Schulist",US,924819.3051,86786.17818,partner,7854.367137,0.043482711,Female,Married,Very High,Halvorson Neck,537,Rolla,KS,US,67954,37.108883,-101.644684,NA,NA,NA,4942.310648,0
2732.93112,pound,Veritatis voluptate ,POS,debit,visa,18-May,Bergstrom-Bergstrom,Onego,26886,38.80171967,-79.45069885,POS,Supermarket,US,WV,Ullrich Inlet,Onego,WV,US,Supermarket,38.80172,-79.4507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,debit,18-May,visa,Bergstrom-Bergstrom,US,580270.2184,20134.147,partner,7929.260467,0.437091672,Male,Married,Low,VonRueden Meadows,441,Trementina,NM,US,88439,35.584946,-104.61634,Marquardt LLC,0.020939866,Liana,3596.537354,0
2806.940318,pound,Ipsam veritatis minu,POS,debit,americanexpress,18-Apr,Lebsack Group,Winslow,72959,35.83120728,-94.11865997,POS,Bank,US,AR,Dicki Neck,Winslow,AR,US,Bank,35.831207,-94.11866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,debit,18-Apr,americanexpress,Lebsack Group,US,879743.156,35578.66062,regular,3434.357987,0.232912104,Male,Other,High,Blick Key,718,Trementina,NM,US,88439,35.584946,-104.61634,"Koelpin, Koelpin and Koelpin",0.546319258,Malachi,3693.933459,0
2077.081809,yen,Voluptas nemo eum op,MOBILE,debit,visa,22-Aug,"D'Amore, D'Amore and D'Amore",Edmond,73025,35.65283203,-97.47809601,ubuntu,NoPOS,US,OK,NA,NA,NA,NA,NA,NA,NA,Madyson,ubuntu,airtel,Hatity,22.148673,51.032288,157.240.0.36,NA,NA,NA,NA,NA,debit,17-Nov,visa,"D'Amore, D'Amore and D'Amore",US,503469.6441,15352.55791,business,7524.771925,0.379691937,Female,Married,Low,Marietta Mountains,918,Edmond,OK,US,73025,35.652832,-97.478096,NA,NA,NA,18.24716369,0
1563.287974,dollar,Enim beatae incidunt,POS,credit,visa,18-Dec,Ledner LLC,Rolla,67954,37.1088829,-101.6446838,POS,Other,US,KS,Sheila Junction,Rolla,KS,US,Other,37.108883,-101.644684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,credit,18-Dec,visa,Ledner LLC,US,903411.9601,81701.38843,regular,4158.98562,0.131449554,Female,Other,Low,Boyer Wall,170,WestChester,PA,US,19388,39.960663,-75.60549,"Zboncak, Zboncak and Zboncak",0.288189884,Lucius,1563.287974,0
4615.398576,dollar,Consequatur voluptas,MOBILE,prepaid,mastercard,18-May,Treutel and Sons,Spotsylvania,22551,38.20096588,-77.5891571,ios,NoPOS,US,VA,NA,NA,NA,NA,NA,NA,NA,Magali,ios,aircel,Regrant,36.569175,73.340749,23.235.209.181,NA,NA,NA,NA,NA,debit,18-Oct,visa,Grant and Sons,US,952793.1604,19478.73103,priority,5101.459697,0.501701238,Male,Married,Very High,Liana Brooks,523,Spotsylvania,VA,US,22551,38.200966,-77.58916,NA,NA,NA,4615.398576,1
257,pound,Atque quidem esse ut,WEB,prepaid,mastercard,18-May,Koch LLC,Marana,85658,32.43673706,-111.2253799,ub,NoPOS,US,AZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d5:cb:17:d5:12:e7,40.118.240.200,ub,Solaris,www.aliya-streich.org,prepaid,18-May,mastercard,Koch LLC,US,383228.6955,7377.370121,priority,3886.811431,0.513302575,Male,Married,Very High,Helena Drives,246,Marana,AZ,US,85658,32.436737,-111.22538,NA,NA,NA,338.212,1
3224.13717,rupee,Ut est totam repella,MOBILE,debit,mastercard,19-Mar,Batz and Sons,NewYork,10075,40.71426773,-74.00597382,symbian,NoPOS,US,NY,NA,NA,NA,NA,NA,NA,NA,Isabel,symbian,aircel,Namfix,67.78313,-75.771812,23.235.209.181,NA,NA,NA,NA,NA,debit,19-Mar,mastercard,Batz and Sons,US,444591.6931,67029.11057,priority,6413.669765,0.010766996,Male,Married,Low,Wyman Views,729,NewYork,NY,US,10075,40.714268,-74.005974,NA,NA,NA,49.55498831,0
2026.609597,dollar,Aut quaerat fuga ea ,POS,credit,visa,20-Jan,"Frami, Frami and Frami",RoundRock,78665,30.508255,-97.67889404,POS,Other,US,TX,Johnston Drives,RoundRock,TX,US,Other,30.508255,-97.678894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,credit,20-Jan,visa,"Frami, Frami and Frami",US,751934.2058,90193.85018,partner,3392.74969,0.529389335,Male,Other,High,Zieme Walks,860,Norton,VT,US,5907,44.98878,-71.78844,Schulist-Schulist,0.131570044,Melyssa,2026.609597,1
2206.105995,pound,Quam sint cum fugiat,MOBILE,debit,mastercard,19-Feb,Leuschke and Sons,Woodside,19980,39.07138824,-75.56861115,android,NoPOS,US,DE,NA,NA,NA,NA,NA,NA,NA,Jonatan,android,idea,Flowdesk,-39.340552,27.125378,107.154.105.1,NA,NA,NA,NA,NA,debit,19-Feb,mastercard,Leuschke and Sons,US,926475.6954,71232.93041,business,4171.143009,0.309726754,Male,Other,Very High,Chesley Overpass,725,Woodside,DE,US,19980,39.07139,-75.56861,NA,NA,NA,2903.235489,0
320,rupee,Adipisci maxime maio,WEB,prepaid,visa,20-Jun,Murray-Murray,Woodland,39776,33.80661011,-89.02555847,safari,NoPOS,US,MS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fa:46:7b:b4:9e:8c,47.52.0.242,safari,Windows,www.alverta-heathcote.com,prepaid,20-Jun,visa,Murray-Murray,US,892112.4303,34305.34243,business,6555.203692,0.532913468,Female,Married,High,Klocko Curve,868,Woodland,MS,US,39776,33.80661,-89.02556,NA,NA,NA,4.9184,1
2891.57803,pound,Beatae neque et et a,WEB,debit,americanexpress,18-Oct,"Sawayn, Sawayn and Sawayn",Carolina,988,18.40200043,-65.97820282,ub,NoPOS,US,PR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37:9d:df:dd:a0:4c,64.145.76.239,ub,Windows,www.allan-mckenzie.io,debit,18-Oct,americanexpress,"Sawayn, Sawayn and Sawayn",US,778061.0664,21666.30074,regular,3336.491928,0.30659942,Male,Unmarried,Very High,McGlynn Port,774,Carolina,PR,US,988,18.402,-65.9782,NA,NA,NA,3805.316687,0
3725.271049,pound,Veniam explicabo max,MOBILE,credit,americanexpress,20-Nov,"Bednar, Bednar and Bednar",WestFarmington,4992,44.66277695,-70.15583038,ubuntu,NoPOS,US,ME,NA,NA,NA,NA,NA,NA,NA,Yesenia,ubuntu,vodaphone,Sonsing,-70.78586,-107.63959,23.235.209.181,NA,NA,NA,NA,NA,credit,20-Nov,americanexpress,"Bednar, Bednar and Bednar",US,529566.7522,37986.08261,priority,5909.893088,0.504581488,Female,Married,Low,Aglae Roads,842,WestFarmington,ME,US,4992,44.662777,-70.15583,NA,NA,NA,4902.4567,1
3517.109677,rupee,Enim tenetur exceptu,WEB,credit,mastercard,18-Apr,Senger Inc,Warroad,56763,48.91114426,-95.35384369,opera,NoPOS,US,MN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96:b5:73:a1:8f:2a,73.2.52.46,opera,MacOS,www.nico-smitham.io,credit,18-Apr,mastercard,Senger Inc,US,349871.0794,13223.25533,partner,4650.529779,0.462563832,Male,Unmarried,High,Dickens Club,39,Warroad,MN,US,56763,48.911144,-95.35384,NA,NA,NA,54.05797574,0
2713.71826,dollar,Non quaerat molestia,POS,credit,americanexpress,20-Dec,McClure-McClure,Edmond,73025,35.65283203,-97.47809601,POS,Other,US,OK,Clarabelle Keys,Edmond,OK,US,Other,35.652832,-97.478096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,credit,20-Dec,americanexpress,McClure-McClure,US,672723.7716,51817.24746,partner,4885.732324,0.234210647,Female,Unmarried,High,Marvin Ramp,155,Onego,WV,US,26886,38.80172,-79.4507,"Kuhic, Kuhic and Kuhic",0.432970652,Derick,2713.71826,0
2492.641778,rupee,Laudantium impedit a,POS,debit,americanexpress,20-Nov,Gottlieb-Gottlieb,Woodland,39776,33.80661011,-89.02555847,POS,Supermarket,US,MS,Russel Stravenue,Woodland,MS,US,Supermarket,33.80661,-89.02556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,debit,20-Nov,americanexpress,Gottlieb-Gottlieb,US,153300.2137,25276.20205,priority,7119.291305,0.078055621,Male,Married,Very High,Sonny Mountains,988,Westfall,OR,US,97920,43.992245,-117.687675,"Blanda, Blanda and Blanda",0.186799764,Mortimer,38.31190413,0
11,dollar,Et qui dolor quis. E,MOBILE,prepaid,mastercard,20-Aug,Koch LLC,Stamford,6928,41.03889847,-73.55930328,windows,NoPOS,US,CT,NA,NA,NA,NA,NA,NA,NA,Jairo,windows,idea,Bitchip,29.139192,-6.8606774,23.235.209.181,NA,NA,NA,NA,NA,prepaid,20-Aug,mastercard,Koch LLC,US,210930.2135,12120.09664,partner,6750.496749,0.495045771,Female,Married,High,Hagenes Mountains,289,Stamford,CT,US,6928,41.0389,-73.5593,NA,NA,NA,11,0
386,yen,Veritatis sed sunt. ,WEB,prepaid,americanexpress,20-Oct,Schmeler-Schmeler,Georgetown,21930,39.39972305,-75.8741684,ub,NoPOS,US,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37:60:da:ff:1d:43,8.8.8.8,ub,Solaris,www.alize-torp.name,prepaid,20-Oct,americanexpress,Schmeler-Schmeler,US,929343.2461,24971.50705,partner,5069.398411,0.217695843,Female,Married,Low,Rowe Bypass,728,Georgetown,MD,US,21930,39.399723,-75.87417,NA,NA,NA,3.39101,0
2185.849582,pound,Optio aliquam in con,WEB,credit,americanexpress,19-May,"Hessel, Hessel and Hessel",FortMill,29707,35.00737,-80.94507599,ub,NoPOS,US,SC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66:97:7c:09:aa:1f,73.2.52.46,ub,Solaris,www.rhianna-herzog.info,credit,19-May,americanexpress,"Hessel, Hessel and Hessel",US,846769.3268,34676.56383,regular,4185.790677,0.275204147,Female,Unmarried,Low,Hartmann Ports,271,FortMill,SC,US,29707,35.00737,-80.945076,NA,NA,NA,2876.57805,0
72,dollar,Autem quia quae dict,MOBILE,prepaid,americanexpress,22-Feb,Boehm and Sons,Andover,5544,42.64640045,-71.16570282,android,NoPOS,US,MA,NA,NA,NA,NA,NA,NA,NA,Breanne,android,jio,Temp,56.375367,103.42132,104.24.104.181,NA,NA,NA,NA,NA,prepaid,22-Feb,americanexpress,Boehm and Sons,US,146417.7958,66918.20617,business,4504.932293,0.414102343,Male,Unmarried,High,Stracke Fields,163,Andover,MA,US,5544,42.6464,-71.1657,NA,NA,NA,72,0
2627.636994,pound,Perspiciatis exercit,WEB,credit,visa,22-Jan,Barton Group,Andover,5544,42.64640045,-71.16570282,firefox,NoPOS,US,MA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c0:d4:c0:b4:d8:95,73.2.52.46,firefox,MacOS,www.eden-bins.io,credit,22-Jan,visa,Barton Group,US,411816.0802,32487.54559,partner,5704.787312,0.549314819,Female,Unmarried,Low,Rylee Ridges,52,Andover,MA,US,5544,42.6464,-71.1657,NA,NA,NA,3457.970284,1
1565.468491,rupee,Aut fuga incidunt do,POS,credit,mastercard,19-Jun,Bashirian-Bashirian,Woodside,19980,39.07138824,-75.56861115,POS,Other,US,DE,Jenkins Circle,Woodside,DE,US,Other,39.07139,-75.56861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,credit,19-Jun,mastercard,Bashirian-Bashirian,US,287793.4853,98343.89731,regular,6021.658459,0.025269504,Male,Unmarried,Low,Randall Square,744,Andover,MA,US,5544,42.6464,-71.1657,Daugherty LLC,0.379302253,Quentin,24.06125071,0
